what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.bugzilla.ui",1267295902143
started,bundle,org.eclipse.mylyn.commons.net,3.3.0.v20091013-0200-e3x,"org.eclipse.mylyn.commons.net",1267295902143
started,bundle,org.eclipse.mylyn.commons.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.commons.ui",1267295902143
started,bundle,org.eclipse.mylyn.context.core,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.context.core",1267295902143
started,bundle,org.eclipse.mylyn.context.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.context.ui",1267295902143
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.monitor.ui",1267295902143
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.tasks.ui",1267295902143
started,bundle,org.eclipse.mylyn.team.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.team.ui",1267295902143
os,sysinfo,,,"win32",1267295902143
arch,sysinfo,,,"x86",1267295902143
ws,sysinfo,,,"win32",1267295902143
locale,sysinfo,,,"en_GB",1267295902143
processors,sysinfo,,,"4",1267295902143
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1267295902143
java.runtime.version,sysinfo,,,"1.6.0_16-b01",1267295902143
java.specification.name,sysinfo,,,"Java Platform API Specification",1267295902143
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1267295902143
java.specification.version,sysinfo,,,"1.6",1267295902143
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1267295902143
java.version,sysinfo,,,"1.6.0_16",1267295902143
java.vm.info,sysinfo,,,"mixed mode, sharing",1267295902143
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1267295902143
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1267295902143
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1267295902143
java.vm.specification.version,sysinfo,,,"1.0",1267295902143
