what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1267294900031
started,bundle,org.eclipse.emf.validation,1.3.0.v200901271722,"org.eclipse.emf.validation",1267294900031
started,bundle,org.eclipse.mylyn.bugzilla.core,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.bugzilla.core",1267294900031
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.bugzilla.ui",1267294900031
started,bundle,org.eclipse.mylyn.commons.net,3.3.0.v20091013-0200-e3x,"org.eclipse.mylyn.commons.net",1267294900031
started,bundle,org.eclipse.mylyn.commons.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.commons.ui",1267294900031
started,bundle,org.eclipse.mylyn.context.core,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.context.core",1267294900031
started,bundle,org.eclipse.mylyn.context.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.context.ui",1267294900031
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.monitor.ui",1267294900031
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.tasks.ui",1267294900047
started,bundle,org.eclipse.mylyn.team.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.team.ui",1267294900047
started,bundle,org.eclipse.uml2.diagram.common,0.9.0.v200906190654,"org.eclipse.uml2.diagram.common",1267294900047
started,bundle,org.eclipse.uml2.uml,3.0.1.v200908281330,"org.eclipse.uml2.uml",1267294900062
started,bundle,com.cloudgarden.jigloo,4.6.0,"com.cloudgarden.jigloo",1267294900062
os,sysinfo,,,"win32",1267294900078
arch,sysinfo,,,"x86",1267294900078
ws,sysinfo,,,"win32",1267294900078
locale,sysinfo,,,"en_GB",1267294900078
processors,sysinfo,,,"4",1267294900078
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1267294900078
java.runtime.version,sysinfo,,,"1.6.0_16-b01",1267294900078
java.specification.name,sysinfo,,,"Java Platform API Specification",1267294900078
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1267294900078
java.specification.version,sysinfo,,,"1.6",1267294900078
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1267294900078
