date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:41:35	178021/178021	---M--	200	added ('OK')	text/html	etag:%226808c-2b765-466d87ba19a00%22	http://pylonsbook.com/en/1.0/css-javascript-and-ajax.html	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/css-javascript-and-ajax.html	(from )
16:41:37	91502/91502	---M--	200	added ('OK')	text/html	etag:%226808b-1656e-466d87ba19a00%22	http://pylonsbook.com/en/1.0/authentication-and-authorization.html	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/authentication-and-authorization.html	(from )
16:41:40	140122/140122	---M--	200	added ('OK')	text/html	etag:%2268098-2235a-466d87ba19a00%22	http://pylonsbook.com/en/1.0/pylons-internal-architecture.html	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/pylons-internal-architecture.html	(from )
16:41:41	162302/162302	---M--	200	added ('OK')	text/html	etag:%226809a-279fe-466d87ba19a00%22	http://pylonsbook.com/en/1.0/simplesite-tutorial-part-3.html	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/simplesite-tutorial-part-3.html	(from )
16:41:43	82652/82652	---M--	200	added ('OK')	text/html	etag:%2268097-142dc-466d87ba19a00%22	http://pylonsbook.com/en/1.0/logging.html	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/logging.html	(from )
16:41:45	69594/69594	---M--	200	added ('OK')	text/html	etag:%226808d-10fda-466d87ba19a00%22	http://pylonsbook.com/en/1.0/deployment.html	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/deployment.html	(from )
16:41:46	35547/35547	---M--	200	added ('OK')	text/html	etag:%22680a9-8adb-466d89b850dc0%22	http://pylonsbook.com/en/1.0/licenses.html	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/licenses.html	(from )
16:41:47	372/372	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Jun%202009%2015:41:47%20GMT	http://pylonsbook.com/en/1.0/modindex.html	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/modindex.1d.delayed	(from )
16:41:47	2987/2987	---M--	200	added ('OK')	text/html	etag:%22680a4-bab-466d87ba19a00%22	http://pylonsbook.com/en/1.0/search.html	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/search.html	(from )
16:41:47	7005/7005	---M--	200	added ('OK')	text/plain	etag:%2250c6b-1b5d-466d82aa0e840%22	http://pylonsbook.com/en/1.0/_sources/index.txt	E:/Projects/Pylons/doc/PylonsBook/pylonsbook.com/en/1.0/_sources/index.txt	(from )
